customer_id,country_mode,first_purchase_date,last_purchase_date,customer_tenure_days,recency_days,active_purchase_span_days,total_invoices,total_line_items,total_quantity,unique_products,unique_purchase_days,avg_days_between_purchases,total_revenue,average_invoice_value,average_line_revenue,average_unit_price,max_invoice_value,min_invoice_value,is_repeat_buyer,purchase_frequency_per_month,quantity_per_invoice,products_per_invoice,total_returns,return_quantity_abs,has_returned,return_rate
12346,United Kingdom,2009-12-14 08:34:00,2011-01-18 10:01:00,400,326,400,12,34,74285,27,8,57.142857142857146,77556.46,6463.038333333334,2281.0723529411766,1.04403930807027,77183.6,1.0,1,0.8999999999999999,6190.416666666667,2.25,13,74232,1,1.0833333333333333
12347,Iceland,2010-10-31 14:20:00,2011-12-07 15:52:00,402,2,402,8,222,2967,126,8,57.42857142857143,4921.53,615.19125,22.169054054054055,1.6587563195146613,1294.32,224.82,1,0.5970149253731343,370.875,15.75,0,0,0,0.0
12348,Finland,2010-09-27 14:59:00,2011-09-25 13:13:00,362,75,362,5,51,2714,25,5,90.75,2019.3999999999999,403.88,39.59607843137255,0.7440677966101694,892.8,222.16,1,0.4143646408839779,542.8,5.0,0,0,0,0.0
12349,Italy,2010-04-29 13:20:00,2011-11-21 09:51:00,570,19,570,4,175,1624,138,4,190.33333333333334,4428.69,1107.1725,25.3068,2.7270258620689654,1757.55,200.0,1,0.21052631578947367,406.0,34.5,5,5,1,1.25
12350,Norway,2011-02-02 16:01:00,2011-02-02 16:01:00,0,310,0,1,17,197,17,1,0.0,334.4,334.4,19.670588235294115,1.69746192893401,334.4,334.4,0,1.0,197.0,17.0,0,0,0,0.0
12351,Unspecified,2010-11-29 15:23:00,2010-11-29 15:23:00,0,375,0,1,21,261,21,1,0.0,300.93,300.93,14.33,1.1529885057471265,300.93,300.93,0,1.0,261.0,21.0,0,0,0,0.0
12352,Norway,2010-11-12 10:20:00,2011-11-03 14:37:00,356,36,356,10,103,724,70,9,44.5,2849.84,284.98400000000004,27.668349514563108,3.936243093922652,840.3,120.33,1,0.8426966292134831,72.4,7.0,10,66,1,1.0
12353,Bahrain,2010-10-27 12:44:00,2011-05-19 17:47:00,204,204,204,2,24,212,23,2,204.0,406.76,203.38,16.948333333333334,1.9186792452830188,317.76,89.0,1,0.29411764705882354,106.0,11.5,0,0,0,0.0
12354,Spain,2011-04-21 13:11:00,2011-04-21 13:11:00,0,232,0,1,58,530,58,1,0.0,1079.4,1079.4,18.610344827586207,2.036603773584906,1079.4,1079.4,0,1.0,530.0,58.0,0,0,0,0.0
12355,Bahrain,2010-05-21 11:59:00,2011-05-09 13:49:00,353,214,353,2,35,543,35,2,353.0,947.61,473.805,27.074571428571428,1.7451381215469612,488.21000000000004,459.4,1,0.16997167138810196,271.5,17.5,0,0,0,0.0
